idbarrio#,namebarrio,id_barrio,No lee %,Asiste a Educación 5-21 años,Asiste a Educación superior,Desempleo,Estrato,barrio,Pertenenci,Cluster,cluster
1018,San Judas Tadeo II,1018,0.043336592,0.634635692,0.172694689,0.205065926,3,San Judas Tadeo II,0.055762082,2,4
1101,San Carlos,1101,0.025180897,0.656038647,0.2723589,0.20175169,3,San Carlos,0.13288443,2,1
1102,Maracaibo,1102,0.017123288,0.60754717,0.280821918,0.225268176,3,Maracaibo,0.13989071,2,1
1103,La Independencia,1103,0.025606102,0.693339722,0.269000272,0.219084854,3,La Independencia,0.148886284,2,1
1104,La Esperanza,1104,0.030841121,0.680473373,0.213084112,0.240317776,3,La Esperanza,0.174660633,2,1
1105,Urbanizacion Boyaca,1105,0.026995305,0.595121951,0.203051643,0.212360017,3,Urbanización Boyaca,0.11437059,2,4
1106,El Jardin,1106,0.028365027,0.66714388,0.227238925,0.22960963,3,El Jardín,0.143001007,2,1
1107,La Fortaleza,1107,0.031778575,0.684556407,0.209977789,0.21287398,3,La Fortaleza,0.131663974,2,1
1108,El Recuerdo,1108,0.022595223,0.7,0.264041317,0.216142271,3,El Recuerdo,0.103533788,2,1
1109,Aguablanca,1109,0.031482663,0.629424011,0.210806211,0.260545906,3,Aguablanca,0.156838906,2,4
1110,El Prado,1110,0.02212766,0.759312321,0.315744681,0.21942446,3,El Prado,0.315403423,2,1
1111,20 de Julio,1111,0.032061069,0.688963211,0.261577608,0.232899023,3,20 de Julio,0.139795421,2,1
1112,Prados de Oriente,1112,0.02628086,0.719298246,0.302893549,0.238814318,3,Prados de Oriente,0.185260483,2,1
1113,Los Sauces,1113,0.017132698,0.644086022,0.325359625,0.212322922,3,Los Sauces,0.164330818,2,1
1114,Villa del Sur,1114,0.019100907,0.786928105,0.35288443,0.206763088,3,Villa del Sur,0.133370024,2,1
1115,Jose Holguin Garces,1115,0.028637771,0.635443038,0.244582043,0.244062244,3,José Holguín Garcés,0.09272997,2,1
1116,Leon XIII,1116,0.039716312,0.584474886,0.178368794,0.238687783,2,León XIII,0.174042272,0,4
1117,Jose Maria Cordoba,1117,0.026435734,0.642105263,0.237921604,0.207920792,3,José María Córdoba,0.168103448,2,1
1118,San Pedro Claver,1118,0.035736291,0.529707113,0.116451017,0.241871267,2,San Pedro Claver,0.257479862,0,2
1119,Los Conquistadores,1119,0.04969419,0.565128205,0.143730887,0.243164872,2,Los Conquistadores,0.238918919,0,2
1120,La Gran Colombia,1120,0.034554974,0.616099071,0.190575916,0.23575419,2,La Gran Colombia,0.20481336,2,4
1121,San Benito,1121,0.042205323,0.607929515,0.147908745,0.267045455,2,San Benito,0.193767908,0,4
1122,Primavera,1122,0.031662269,0.52669235,0.177911798,0.214141414,2,Primavera,0.145058448,0,4
1201,Villanueva,1201,0.043721973,0.546933667,0.15284006,0.240571655,2,Villanueva,0.169138418,0,4
1202,Asturias,1202,0.024832589,0.583050847,0.174665179,0.299940547,2,Asturias,0.272943038,0,2
1203,Eduardo Santos,1203,0.041635688,0.604777416,0.13197026,0.228857715,2,Eduardo Santos,0.155346569,0,4
1204,Alfonso Barberena A.,1204,0.032662362,0.657615112,0.252563616,0.196694881,2,Alfonso Barberena A.,0.172526278,2,1
1205,El Paraiso,1205,0.024116287,0.663206459,0.234225306,0.211410571,3,El Paraíso,0.08688882,2,1
1206,Fenalco Kennedy,1206,0.024678112,0.75,0.342274678,0.22272216,3,Fenalco Kennedy,0.071428571,2,1
1207,La Nueva Floresta,1207,0.022826615,0.655925156,0.223625277,0.230778085,3,Nueva Floresta,0.159901851,2,1
1208,Julio Rincon,1208,0.031027796,0.614100186,0.172592114,0.246376812,2,Julio Rincón,0.089853301,2,4
1209,Doce de Octubre,1209,0.03853325,0.614942529,0.15382225,0.221594684,3,Doce de Octubre,0.255847953,0,2
1210,El Rodeo,1210,0.036170876,0.610275689,0.144579566,0.245207756,2,El Rodeo,0.123031785,2,4
1211,Sindical,1211,0.026084491,0.640730067,0.206691239,0.311357507,3,Sindical,0.111380145,2,4
1212,Bello Horizonte,1212,0.036730946,0.722397476,0.193755739,0.255360624,3,Bello Horizonte,0.097453907,2,1
1301,Ulpiano Lloreda,1301,0.028606208,0.653674121,0.201054981,0.242339232,2,Ulpiano Lloreda,0.155901576,2,4
1302,El Vergel,1302,0.060555217,0.556153846,0.075655888,0.271542421,1,El Vergel,0.21741899,0,2
1303,El Poblado I,1303,0.040222335,0.608719647,0.13006569,0.243092716,2,El Poblado I,0.202766724,0,4
1304,El Poblado II,1304,0.051545509,0.56433506,0.10017981,0.254106729,2,El Poblado II,0.196666132,0,4
1305,Los Comuneros II,1305,0.040279757,0.617288254,0.128221733,0.236049107,2,Los Comuneros II,0.153864911,0,4
1306,Ricardo Balcazar,1306,0.028299392,0.619909502,0.163713303,0.244393982,2,Ricardo Balcázar,0.097166998,2,4
1307,Omar Torrijos,1307,0.049472296,0.498322148,0.086081794,0.251785714,2,Omar Torrijos,0.174908425,0,4
1308,El Diamante,1308,0.035165813,0.607006369,0.149565992,0.226665075,2,El Diamante,0.117547925,2,4
1309,Lleras Restrepo,1309,0.040275049,0.773913043,0.16502947,0.214587738,2,Lleras Restrepo,0.037998146,2,1
1310,Villa del Lago,1310,0.030672269,0.552423901,0.174789916,0.22965968,3,Villa del Lago,0.189994044,0,4
1311,Los Robles,1311,0.035282258,0.619210978,0.127016129,0.243553629,2,Los Robles,0.179845254,0,4
1312,Rodrigo Lara Bonilla,1312,0.052728614,0.512843224,0.076327434,0.252419355,2,Rodrigo Lara Bonilla,0.15658486,0,4
1313,Charco Azul,1313,0.063674322,0.365853659,0.076200418,0.235492958,1,Charco Azul,0.292874693,0,2
1314,Villablanca,1314,0.045810493,0.555555556,0.096711042,0.25106929,2,Villablanca,0.209447089,0,4
1315,Calipso,1315,0.021487938,0.642640824,0.280356781,0.204966238,3,Calipso,0.094534995,2,1
1390,Yira Castro,1390,0.034756098,0.604477612,0.16402439,0.248194353,2,Yira Castro,0.212729358,0,4
1393,Lleras Restrepo II,1393,0.03751234,0.574850299,0.11994077,0.252747253,1,Lleras Restrepo II,0.161016949,0,4
1394,Marroquin III,1394,0.052972973,0.575144509,0.088108108,0.255621302,2,Marroquín III,0.267306721,0,2
1395,Los Lagos,1395,0.052607778,0.515217391,0.103557431,0.255382087,2,Los Lagos,0.301049685,0,2
1397,Sector Laguna del Pondaje,1397,0.063874346,0.449535193,0.077038145,0.25411726,1,Sector Laguna del Pondaje,0.257672104,0,2
1398,El Pondaje,1398,0.024373957,0.661442006,0.204340568,0.237275986,2,El Pondaje,0.129955947,2,4
1399,Sector Asprosocial - Diamante,1399,0.027671022,0.512974052,0.217524981,0.238174274,2,Sector Asprosocial - Diamante,0.071479628,2,4
1401,Alfonso Bonilla Aragon,1401,0.052387406,0.562392711,0.092994162,0.267611221,1,Alfonso Bonilla Aragón,0.26764578,0,2
1402,Alirio Mora Beltran,1402,0.047169001,0.503571429,0.094166165,0.287592057,2,Alirio Mora Beltrán,0.182662291,0,4
1403,Manuela Beltran,1403,0.057365803,0.396385036,0.077859715,0.278012189,1,Manuela Beltrán,0.347781462,0,2
